LocaleIdentifier,TH
MsgTillsTillNameSingular,ลิ้นชักเก็บเงิน
MsgTillMaxAmountReachedEmail,ลิ้นชักเก็บเงินเปิดอยู่ %@ ลิ้นชักเก็บเงิน #%d ได้มาถึง %@
MsgReceiptTypeGift,ใบเสร็จของขวัญ
MsgReceiptGift2,ของขวัญ
BtnOrderHeaderSettings,การตั้งค่า
BtnOrderHeaderCustomers,ลูกค้า
BtnOrderHeaderOrders,คำสั่งซื้อ
BtnSearch,ค้นหา
BtnWelcome,ยินดีต้อนรับ
MsgOrderCommission,ค่าคอมมิชชั่น
MsgOrderEditCombo,แก้ไขคอมโบ
MsgOrderEditQuantity,จำนวน
MsgOrderEditSpecialRequest,คำร้องขอพิเศษ
MsgOrderEditSelectComboItem,เลือกรายการคอมโบ
MsgOrderEditNoInformationAvailable,[ไม่มีข้อมูล]
BtnOrderEditSetQuantity,ตั้งค่าจำนวน
BtnOrderEdit,แก้ไขตัวดัดแปลง
BtnOrderEditDiningOption,การรับประทานอาหาร
BtnOrderEditDiscount,รายการส่วนลด
BtnOrderEditAddTax,เพิ่มภาษี
BtnOrderEditRemoveTax,ลบภาษีออก
BtnOrderEditChangeCourse,อาหารชุด %d
BtnOrderEditChangeSeat,เปลี่ยนที่นั่ง
BtnOrderEditShare,แบ่งปัน
BtnOrderEditSplit,แยกออก
BtnOrderEditFirstHalf,ครึ่งแรก
BtnOrderEditSecondHalf,ครึ่งหลัง
BtnOrderEditPrintLabel,พิมพ์ลาเบล
BtnOrderEditServiceFee,ค่าธรรมเนียมการบริการ
BtnOrderOverridePrice,แทนที่ราคา
BtnOrderTrackCateringDelivery,วันที่ส่งมอบ
BtnOrderCopyItem,สำเนา
BtnOrderInventoryLookup,ใบแจ้งหนี้ ค้นหาข้อมูล
BtnOrderModOptionNo,ไม่ใช่
BtnOrderModOptionSide,ด้าน
BtnOrderModOptionOnly,เฉพาะ
BtnOrderModOptionLite,เล็กน้อย
MsgOrderPayBalanceDue,ยอดที่ต้องชำระ
MsgOrderPayAmountTendered,จำนวนเงินที่มอบให้
MsgOrderPayChangeTitle,เปลี่ยนแปลง
MsgOrderPayChangeDueTitle,เปลี่ยนแปลงการครบกำหนด:
MsgOrderPayHide,ซ่อน
MsgOrderPayTip,ทิป: %@
MsgOrderPayAutoGratuity,เงินค่าตอบแทนอัตโนมัติ: %@
MsgOrderPayChange,เปลี่ยนแปลง %@
MsgOrderPayCashRounded,เงินสดที่ปัดเศษ: %@
BtnOrderPayAddPoints,เพิ่ม %d คะแนน
BtnOrderCaptionAddRewards,เพิ่มรางวัล
BtnOrderCaptionAddPoints,เพิ่มคะแนน
BtnOrderPayRedeemPoints,แลกคะแนน
BtnOrderPayRedeemRewards,แลกรางวัล
BtnOrderPayRedeemReward,แลกรางวัล
BtnOrderPayRewards,รางวัล
BtnOrderPayHotspot,ฮอตสปอต
BtnOrderPayTipAmount,จำนวนเงินทิป
BtnOrderPayEmail,อีเมล
BtnOrderPayReprint,พิมพ์อีกครั้ง
BtnOrderPayRefundPayments,ชำระเงินคืน
BtnOrderPayRewardPoints,คะแนนรางวัล
BtnOrderPaySplitBill,แยกบิล
BtnOrderPayGiftReceipt,ใบเสร็จของขวัญ
BtnOrderPayFiscalInvoice,ใบแจ้งหนี้
BtnOrderPayDone,เสร็จเรียบร้อย
BtnOrderPayRetryLoadCredit,จัดเก็บ\nเครดิต
MsgModifiersTitle,เลือกตัวดัดแปลงสำหรับ %@
MsgModifierSelectAtLeastNumberModifier,โปรดเลือกอย่างน้อย%d ตัวดัดแปลง
MsgModifierSelectModifierTitle,โปรดเลือก:\n%@
MsgModifierSelectModifierNames,มีตัวดัดแปลงอย่างน้อย %d ตัวใน %@\n
MsgModifierSelectAmount,โปรดเลือกตัวดัดแปลงจำนวนสูงสุด %d ตัว
MsgModifierSelectSubstitution,โปรดเลือกรายการทดแทนสำหรับ %@
BtnModifiersFirstHalf,ครึ่งแรก
BtnModifiersSecondHalf,ครึ่งหลัง
MsgModifierNA,ไม่มีอยู่
MsgQuickModifiers,ตัวดัดแปลงด่วน
MsgSpecialRequestSelect,เลือกคำร้องขอพิเศษ
MsgSpecialRequestEnter,ป้อนคำร้องขอพิเศษ
MsgOther,อื่น ๆ
MsgReason,เหตุผล:
MsgVoidEnterReason,ป้อนเหตุผล
MsgVoidSelectProductsToVoid,เลือกผลิตภัณฑ์เพื่อยกเลิก
MsgVoidSelectProductsToComp,เลือกผลิตภัณฑ์เพื่อทำให้เสร็จสมบูรณ์
MsgVoidSelectProductsTo,เลือกผลิตภัณฑ์เพื่อ
MsgVoidCheckNumber,เช็ค #
MsgVoidGiftCardNumberForAmount,คุณต้องการลดบัตร #%@ โดย %@ หรือไม่?
MsgVoidGiftCardAndDecrease,เลือกบัตรของขวัญเพื่อลด
BtnDecrease,ลด
OrderNotEditable,คำสั่งซื้อเปิดอยู่บนเครื่องบริการอื่น  โปรดปิดเครื่องบริการนั้นเพื่อแก้ไขข้อมูลที่นี่
OrderHasChanges,คำสั่งซื้อที่เปลี่ยนแปลง  โปรดบันทึกข้อมูลก่อนออกจากระบบ
PaymentsAreDisabled,การชำระเงินถูกปิดการใช้งาน
Orders,คำสั่งซื้อ
Order,คำสั่งซื้อ
Invoice,ใบแจ้งหนี้
OrderCancel,ยกเลิกคำสั่งซื้อ
MsgSplitItemTitle,เลือกเช็ค
MsgSplitItemAddBill,เพิ่มเช็ค
MsgSplitItemNotAllowedPaid,รายการเป็นของบิลที่ชำระเงินแล้ว การแยกรายการไม่ได้รับอนุญาต
MsgChangeSeatNotAllowedPaid,รายการเป็นของบิลที่ชำระเงินแล้ว การเปลี่ยนแปลงที่นั่งไม่ได้รับอนุญาต
ActionExchangeSelectedItem,แลกเปลี่ยนรายการที่เลือกไว้
ActionExchangeSeveralItems,แลกเปลี่ยนหลายรายการ
ActionVoidSelectedItem,ยกเลิกรายการที่เลือกไว้
ActionVoidSeveralItems,ยกเลือกหลายรายการ
ActionReturnSelectedItem,คืนค่ารายการที่เลือกไว้
ActionReturnSeveralItems,คืนค่าหลายรายการ
ActionVoidReturnSeveralItems,คืนค่าหลายรายการ
ActionMoveSelectedItem,ย้ายรายการที่เลือกไว้
ActionMoveSeveralItems,ย้ายหลายรายการ
ActionChangeSeat,เปลี่ยนที่นั่ง
ActionAddQuantity,เพิ่มจำนวน
ActionDiscountItem,รายการส่วนลด
ActionSplitItem,แยกรายการ
ActionEditModifiers,แก้ไขตัวดัดแปลง
ActionChangeDining,เปลี่ยนแปลงการรับประทานอาหาร
ActionChangeCourse,เปลี่ยนแปลงอาหารชุด
ActionEditSpecialRequest,คำร้องขอพิเศษ
ActionFireNextCourse,ปรุงอาหาร %d
ActionCopyItem,ยกเลิกรายการที่เลือกไว้
ActionCopyItems,ยกเลือกหลายรายการ
ActionLayawayItem,รายการที่ผ่อนชำระได้
ActionLayawayItems,รายการที่ผ่อนชำระได้
ActionReprintItem,พิมพ์รายการใหม่อีกครั้ง
ActionReprintItems,พิมพ์รายการใหม่อีกครั้ง
ActionRemakeItem,พิมพ์รายการใหม่อีกครั้ง
ActionRemakeItems,รายการที่คืนค่า
ActionManageCommission,แบ่งส่วนคอมมิชชั่น
ActionReprintToKitchen,ส่งไปยังห้องครัว
ActionServiceFee,ค่าธรรมเนียมการบริการ
ActionCompSelectedItem,%@ รายการที่เลือกไว้
ActionCompSeveralItems,%@ หลายรายการ
ActionReprintOrderItems,พิมพ์รายการใหม่อีกครั้ง
ActionSendSelectedItem,ส่งรายการที่เลือกไว้
ActionSendSeveralItems,ส่งหลายรายการ
ActionSendAllItems,ส่งรายการทั้งหมด
ActionSendCourse,ส่งอาหารชุด
ActionDiscountSelectedItem,ส่วนลดรายการที่เลือกไว้
ActionDiscountSeveralItems,ส่วนลดหลายรายการ
ActionSelectItemsTo,เลือกรายการไปที่ %@
ActionOverridePrice,แทนที่ราคา
ActionCopy,คัดลอกรายการ
ActionVoid,คัดลอกรายการ
ActionLayaway,**ผ่อนชำระ**
ActionMove,ย้ายรายการ
ActionExchange,แลกเปลี่ยนรายการ
ActionReturn,คืนค่ารายการ
ActionVoidReturn,คืนค่ารายการ
ActionComp,ทำรายการให้เสร็จสมบูรณ์
ActionComps,ทำรายการให้เสร็จสมบูรณ์
ActionsForItem,การดำเนินการสำหรับ [%@]:
AdditionalActions,การดำเนินการเพิ่มเติม
MsgComp,ทำรายการให้เสร็จสมบูรณ์
MsgActionScreenItemSentAt,ส่งรายการไปที่
GiftCardCreate,สร้างใบรับรอง
GiftCardManage,จัดการบัตรของขวัญ
GiftCardVoid,ยกเลิกบัตรของขวัญ
StoreCreditVoid,จัดเก็บ\nเครดิต
RewardCardCreate,สร้างบัตรรางวัล
RewardCardManage,จัดการบัตรรางวัล
SplitEven,แยกออกเท่า ๆ กัน
SplitOdd,แยกออกด้วยตนเอง
SplitSelect,แยกออกโดยรายการ
SplitSeat,แยกออกโดยหมายเลขที่นั่ง
PosStation,เครื่องบริการ
PosStations,เครื่องบริการ
PosStationMain,หลัก
SetAsMain,ตั้งเป็นเครื่องหลัก
MsgRegistrationInProcess,กำลังลงทะเบียน...
MsgRegistrationFailed,การลงทะเบียนล้มเหลว
MsgRegistrationFailedWithReason,เหตุผลที่การลงทะเบียนล้มเหลว - “%@”
MsgRegistrationResync,ซิงก์แอปพลิเคชันใหม่อีกครั้งหรือไม่?
MsgRegistrationTokenRetrieveFail,การพิสูจน์ตัวจริงล้มเหลว ลองอีกครั้งหรือไม่?
MsgRegistrationTokenRetrieveFailWithReason,เหตุผลที่การพิสูจน์ตัวจริงล้มเหลว - “%@”\nลองอีกครั้งหรือไม่?
MsgRegistrationConfirmSettings,URL ของคุณคือ: %@\n\nเครื่องติดตั้งของคุณคือ: %@\n\nถูกต้องหรือไม่?
MsgRegistrationTokenAuthenticationFailed,การพิสูจน์ตัวจริงล้มเหลว
MsgRefreshInProcess,กำลังดาวน์โหลดการตั้งค่า...
MsgProductGroups,กลุ่มผลิตภัณฑ์
MsgCustomerGroups,กลุ่มลูกค้า
MsgShipRates,อัตราค่าการจัดส่ง
MsgModifierClasses,ระดับตัวดัดแปร
MsgModifierDiscounts,ส่วนลดตัวดัดแปร
MsgProductCategories,หมวดหมู่ผลิตภัณฑ์
MsgUpsellCombos,ชุดการขายต่อยอด
MsgAttributes,คุณลักษณะ
MsgAttributeValues,ค่าคุณลักษณะ
MsgIngredients,ส่วนผสม
MsgCallNames,ชื่อเรียก
MsgTaxes,ภาษี
MsgTaxTables,ตารางภาษี
MsgTableTags,แท็กภาษี
MsgDisabledInTrainingMode,การทำหน้าที่นี้ถูกปิดใช้งานในโหมดฝึกอบรม
MsgDisabledInTrainingModeAppleStore,การทำหน้าที่นี้ถูกปิดใช้งาน
MsgIdentityProtectionTitle,เอกลักษณ์การป้องกันการโจรกรรม
MsgIdentityProtectionVerify,กรุณาตรวจสอบ
MsgDateErrors,วันที่ไม่ถูกต้อง
MsgDateRangeErrors,ช่วงเวลาการรายงานมากเกินกว่าหนึ่งสัปดาห์
MsgOrdersReportWarningNoData,บางคำสั่งซื้อของคุณอาจเปิดอยู่ หรือไม่ได้ซิงก์ไปยังเซิร์ฟเวอร์ ดังนั้นรายงานสรุปยอดการขายอาจไม่สมบูรณ์ ดำเนินการต่อหรือไม่?
MsgOrdersReportWarningUnsyncedOrders,บางคำสั่งซื้อของคุณไม่ได้ซิงก์ไปยังเซิร์ฟเวอร์ ดังนั้นรายงานสรุปยอดการขายอาจไม่สมบูรณ์ ดำเนินการต่อหรือไม่?
MsgOrdersReportWarningOpenOrders,คุณมีคำสั่งซื้อที่เปิดอยู่:
MsgOrdersReportManagerWarningOpenUnsyncedOrders,มีคำสั่งซื้อที่เปิดอยู่ และบางคำสั่งซื้อไม่ได้ซิงก์ไปยังเซิร์ฟเวอร์ ดังนั้นรายงานสรุปยอดการขายอาจไม่สมบูรณ์ ดำเนินการต่อหรือไม่?
MsgOrdersReportManagerWarningOpenOrders,มีคำสั่งซื้อที่เปิดอยู่ ดังนั้นรายงานสรุปยอดการขายอาจไม่สมบูรณ์ ดำเนินการต่อหรือไม่?
MsgOrdersReportManagerWarningUnsyncedOrders,บางคำสั่งซื้อไม่ได้ซิงก์ไปยังเซิร์ฟเวอร์ ดังนั้นรายงานสรุปยอดการขายอาจไม่สมบูรณ์ ดำเนินการต่อหรือไม่?
MsgOrdersReportManagerWarningNoData,หลายคำสั่งซื้ออาจเปิดอยู่ หรือไม่ได้ซิงก์ไปยังเซิร์ฟเวอร์ ดังนั้นรายงานสรุปยอดการขายอาจไม่สมบูรณ์ ดำเนินการต่อหรือไม่?
MsgClockInToAccessError,พนักงานไม่ได้ลงเวลาเข้างาน หรือการลงเวลาเข้างานไม่ได้รับการยืนยัน
MsgClockInToAccessClockIn,เข้างาน
MsgClockInToAccessManagerOverride,แทนที่ผู้จัดการ
MsgClockInToAccessOverride,แทนที่
MsgClockInToAccessCancel,ยกเลิก
MsgClockInDisableClockInCheck,ปิดการใช้งานการตรวจสอบการลงเวลาเข้างาน
MsgClockInForHours,เป็นเวลากี่ชั่วโมง
MsgBarTabCardReaderLostConnection,ไม่สามารถเชื่อมต่อไปยังการรูดบัตร\nลองเชื่อมต่ออีกครั้งหรือไม่
MsgDataStorageDbBackup,การสำรองข้อมูลฐานข้อมูล รุ่น: %@
MsgDataStorageDbPosStations,ฐานข้อมูลมาจากเครื่องบริการ POS: %@
MsgDataStoreUnableToFindPos2v,ไม่สามารถค้นหา pos2v.sqlite
MsgDataStorageConfigureEmail,กำหนดค่าอีเมลของคุณเพื่อใช้คุณสมบัตินี้
MsgDataStorageFailedToCreateWritableDb,การสร้างไฟล์ฐานข้อมูลที่สามารถเขียนได้ล้มเหลว พร้อมข้อความแสดงข้อผิดพลาด ‘%@’
MsgDataStorageDataFetchFailed,การนำเข้าข้อมูลล้มเหลว
MsgDataStorageReportsSales,ยอดขาย
MsgDataStorageReportsTotalOrders,คำสั่งซื้อทั้งหมด
MsgDataStorageReportsAverageSale,ยอดขายเฉลี่ย
MsgDataStorageReportsTaxableSales,ยอดขายที่เก็บภาษีได้
MsgDataStorageReportsNonTaxableSales,ยอดขายที่ไม่สามารถเก็บภาษีได้
MsgDataStorageReportsCRVCharges,ค่าใช้จ่าย CRV
MsgDataStorageReportsTotalProductSales,ยอดขายผลิตภัณฑ์ทั้งหมด
MsgDataStorageReportsTotalSalesLower,ยอดขายรวม
MsgDataStorageReportsItemDiscounts,ขอใช้ส่วนลด
MsgDataStorageReportsOrderDiscounts,ส่วนลดคำสั่งซื้อ
MsgDataStorageReportsCoupons,คูปอง
MsgDataStorageReportsTotalDiscounts,ส่วนลดทั้งหมด
MsgDataStorageReportsNetSales,ยอดขายสุทธิ
MsgDataStorageReportsSalesTax,ภาษีการขาย
MsgDataStorageReportsSurcharges,เก็บเงินเพิ่ม
MsgDataStorageReportsRoundingDeltas,ส่วนต่างของการปัดเศษ
MsgDataStorageReportsTaxRebate,เงินภาษีที่หักคืนให้
MsgDataStorageReportsTotalTaxes,ภาษีรวม
MsgDataStorageReportsDepositTotal,เงินฝาก
MsgDataStorageReportsApplDepTotal,นำเงินฝากมาใช้
MsgDataStorageReportsTotalTax,ภาษีรวม
MsgDataStorageReportsNetToAccountFor,ค่าสุทธิไปยังบัญชี
MsgDataStorageReportsNetToAccountForLower,ค่าสุทธิไปยังบัญชี
MsgDataStorageReportsVoids,ยกเลิก
MsgDataStorageReportsVoidedItems,รายการที่ยกเลิก
MsgDataStorageReportsVoidedTotal,ยอดรวมที่ยกเลิก
MsgDataStorageReportsReturns,คืนค่า
MsgDataStorageReportsReturnedItems,รายการที่คืนค่า
MsgDataStorageReportsReturnedTotal,ยอดรวมที่คืนค่า
MsgDataStorageReportsRefunds,การขอคืนเงิน
MsgDataStorageReportsRefundsNumber,หมายเลขการขอคืนเงิน
MsgDataStorageReportsRefundsTotal,ยอดรวมการขอคืนเงิน
MsgDataStorageReportsComps,คำร้องเรียน
MsgDataStorageReportsCashAdjustments,การปรับเปลี่ยนเงินสด
MsgDataStorageReportsPayouts,ชำระเงินออก
MsgDataStorageReportsPayins,รับเงินเข้า
MsgDataStorageReportsPayments,การชำระเงิน
MsgDataStorageReportsPaymentsLower,การชำระเงิน
MsgDataStorageReportsCashPaymentsReceived,การชำระเงินสดที่ได้รับ
MsgDataStorageReportsLiabilities,ยอดรวมหนี้สิน
MsgDataStorageReportsCash,เงินสด
MsgDataStorageReportsTips,ทิป
MsgDataStorageReportsTipsLowercase,ทิป
MsgDataStorageReportsCashTips,ทิปเงินสด
MsgDataStorageReportsCreditTips,ทิปเครดิต
MsgDataStorageReportsIndexTips,ทิปดัชนี
MsgDataStorageReportsGiftTips,ทิปของขวัญ
MsgDataStorageReportsDebitTips,ทิปเดบิต
MsgDataStorageReportsHouseAccountTips,ทิปบัญชีค่านายหน้า
MsgDataStorageReportsTradeTips,ทิปการแลกเปลี่ยน
MsgDataStorageReportsZapperTips,ทิปอื่น ๆ
MsgDataStorageReportsStoreCreditTips,จัดเก็บ\nเครดิต
MsgDataStorageReportsOtherTips,ทิปอื่น ๆ
MsgDataStorageReportsTotalTips,ยอดรวมทิป
MsgDataStorageReportsTotal,ยอดรวม
MsgDataStorageReportsEmployee,พนักงาน
MsgDataStorageReportsEmployeeHas1OpenOrderOnServer,พนักงานมี 1 คำสั่งซื้อที่เปิดอยู่บนเซิร์ฟเวอร์
MsgDataStorageReportsEmployeeHasManyOpenOrderOnServer,พนักงานมี %@ คำสั่งซื้อที่เปิดอยู่บนเซิร์ฟเวอร์
MsgDataStorageReports1OpenOrderOnServer,1 คำสั่งซื้อที่เปิดอยู่บนเซิร์ฟเวอร์
MsgDataStorageReportsManyOpenOrderOnServer,%@ คำสั่งซื้อที่เปิดอยู่บนเซิร์ฟเวอร์
MsgDataStorageReportsType,ประเภท
MsgDataStorageReportsPayment,การชำระเงิน
MsgDataStorageReportsTip,ทิป
MsgDataStorageReportsTypePaymentForEpson,การชำระเงินประเภท             #               \n
MsgDataStorageReportsTotal0ForEpson,ยอดรวม                0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForEpson,การชำระเงินประเภท    #       ทิป     ยอดรวม\n
MsgDataStorageReportsTotal0000ForEpson,ยอดรวม      0      0.00      0.00      0.00\n
MsgDataStorageReportsTypePaymentForRaster,การชำระเงินประเภท             #               \n
MsgDataStorageReportsTotal0ForRaster,ยอดรวม                0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForRaster,การชำระเงินประเภท    #       ทิป     ยอดรวม\n
MsgDataStorageReportsTotal0000ForRaster,ยอดรวม      0      0.00      0.00      0.00\n
MsgDataStorageReportsCashDueEmployee,พนักงานที่มีเงินสดครบกำหนด
MsgDataStorageReportsCashDueHouse,นายหน้าที่มีเงินสดครบกำหนด
MsgDataStorageReportsOrder_,คำสั่งซื้อ
MsgDataStorageReportsAmount,จำนวนเงิน
MsgDataStorageReportsTransactions,ธุรกรรม
MsgDataStorageReportsDeclaredTips,ทิปที่ได้แจ้งไว้
MsgDataStorageReportsOpenOrdersMany,คำสั่งซื้อที่เปิดอยู่
MsgDataStorageReportsPrintDate,พิมพ์วันที่
MsgDataStorageReportsProductData,ข้อมูลผลิตภัณฑ์
MsgDataStorageReportsProductByClassData,ข้อมูลผลิตภัณฑ์
MsgDataStorageReportsProductByCategoryData,ข้อมูลผลิตภัณฑ์
MsgDataStorageReportsProductBySubcategoryData,ข้อมูลผลิตภัณฑ์
MsgDataStorageReportsClass,ระดับ
MsgDataStorageReportsSalesLowercase,ยอดขาย
MsgDataStorageReportsVisa,วีซ่า
MsgDataStorageReportsMasterCard,มาสเตอร์การ์ด
MsgDataStorageReportsDiscover,ดิสคัฟเวอร์
MsgDataStorageReportsAmericanExpress,อเมริกัน เอ็กซ์เพรส
MsgDataStorageReportsGiftCards,บัตรของขวัญ
MsgDataStorageReportsOther,อื่น ๆ
MsgDataStorageReportsDebit,เดบิต
MsgDataStorageReportsTotalPayments,ยอดรวมการชำระเงิน
MsgDataStorageReportsTotalTipsLowercase,ยอดรวมทิป
MsgDataStorageReportsAllEmployees,พนักงานทั้งหมด
MsgDataStorageReportsEmployeeLowercase,พนักงาน
MsgDataStorageReportsGuests,ลูกค้า
MsgDataStorageReportsGuestsNumber,จำนวนลูกค้ารวม
MsgDataStorageReportsGuestsAverageSale,ยอดขายเฉลี่ยต่อลูกค้า
MsgDataStorageReportsOtherPayments,การชำระเงินอื่น ๆ
MsgDataStorageReportsHourlySalesHeader,ยอดขายรายชั่วโมง
MsgDataStorageReportsHourlySalesTime,เวลา
MsgDataStorageReportsHourlySalesSales,ยอดขาย
MsgDataStorageReportsHourlySalesTrans,#TR
MsgDataStorageReportsHourlySalesAvgTrans,TR เฉลี่ย
MsgDataStorageReportsHourlySalesSalesPercent,%ยอดขาย
MsgDataStorageReportsHourlySalesTotals,ยอดรวม:
MsgDataStorageReportsLaborHeader,แรงงาน
MsgDataStorageReportsLaborTime,เวลา
MsgDataStorageReportsLaborSales,ยอดขาย
MsgDataStorageReportsLaborManHrs,ชั่วโมงแรงงาน
MsgDataStorageReportsLaborSPMH,ยอดขายต่อชั่วโมงแรงงาน
MsgDataStorageReportsLaborWages,ค่าจ้าง
MsgDataStorageReportsLaborPercentLabor,%แรงงาน
MsgDataStorageReportsLaborTotals,ยอดรวม:
MsgDataStorageReportsVoucherDetailsName,ชื่อ
MsgDataStorageReportsVoucherDetailsTotal,ยอดรวม
MsgDataStorageReportsTender,ส่งมอบ
MsgDataStorageReportsAdj,ปรับยอด
MsgDataStorageReportsAmex,Amex
MsgDataStorageReportsMC,MC
MsgDataStorageReportsTotals,ยอดรวม
MsgDataStorageReportsLevelup,เพิ่มระดับ
MsgDataStorageReportsCashAdjDueToEmp,ปรับยอด พนักงานที่มีเงินสดครบกำหนด
MsgDataStorageReportsCashAdjDueToHouse,ปรับยอด เงินสดครบกำหนดต่อนายหน้า
MsgDataStorageReportsCashSalesReceived,ยอดขายเงินสดที่ได้รับ
MsgDataStorageReportGC,ก.
MsgDataStorageReportsServiceFees,ค่าธรรมเนียมการบริการ
MsgDataStorageReportsTaxServiceFees,ค่าธรรมเนียมการบริการที่เก็บภาษีได้
MsgDataStorageReportsUntaxServiceFees,ค่าธรรมเนียมการบริการที่ไม่สามารถเก็บภาษีได้
MsgDataStorageReportsTotalServiceFees,ยอดรวมค่าธรรมการบริการ
MsgDataStorageReportsGrossSales,ยอดรวมการขาย
MsgDataStorageConnectionErroFailedToOpenDatabase,การเปิดฐานข้อมูลด้วยข้อความ ‘%s’ ล้มเหลว
MsgDataStorageConnectionErroFailedToCloseDatabase,ข้อผิดพลาด: การปิดฐานข้อมูลด้วยข้อความ ‘%s’ ล้มเหลว
MsgDataStorageUnknownProvider,ไม่ทราบที่มา
MsgDatabaseSendFailure,ไม่สามารถส่งฐานข้อมูลไปยังเซิร์ฟเวอร์
MsgDatabaseUpdateFailed,POS ไม่สามารถอัปเดตฐานข้อมูลภายในได้ โปรดปรับรุ่นลงเป็นรุ่น %@
MsgDatabaseSending,การส่งฐานข้อมูลไปยังเซิร์ฟเวอร์
MsgDatabaseSendingBackup,การส่งการสำรองฐานข้อมูล
MsgDatabaseUpgradingDatabase,การอัปเกรดฐานข้อมูล
MsgDatabaseCopying,การสร้างการคัดลอกฐานข้อมูล
MsgDatabaseSendSuccess,ฐานข้อมูลได้รับการอัปเดตเรียบร้อยแล้ว การแจ้งเตือนถูกส่งไปยัง support@revelsystems.com
MsgEmployeeSalesReport,รายงานยอดขายของพนักงาน
MsgEmployeeSalesReportDateStart,วันที่เริ่ม
MsgEmployeeSalesReportDateEnd,วันที่สิ้นสุด
MsgEmployeeSalesReportEmployee,พนักงาน
MsgEmployeeSalesReportOpenOrders,คำสั่งซื้อที่เปิดอยู่
MsgEmployeeSalesReportProductData,ข้อมูลผลิตภัณฑ์
MsgEmployeeSalesReportProductDataByClass,ข้อมูลผลิตภัณฑ์
MsgEmployeeSalesReportProductDataByCategory,หมวดหมู่ผลิตภัณฑ์
MsgEmployeeSalesReportProductDataBySubcategory,เลือกหมวดหมู่ย่อย
MsgEmployeeSalesReportCashTransactions,ธุรกรรมเงินสด
MsgEmployeeSalesReportCreditTransactions,ธุรกรรมเครดิต
MsgEmployeeSalesReportOtherTransactions,ธุรกรรมอื่น
MsgEmployeeSalesReportLocalData,ข้อมูลภายในเครื่อง
MsgEmployeeSalesReportHourlySales,ยอดขายรายชั่วโมง
MsgEmployeeSalesReportLabor,แรงงาน
MsgEmployeeSalesReportTooLongOperation,การนำเข้ารายงานจากระบบส่วนหลังใช้เวลานานเกินไป แสดงข้อมูลภายในเครื่องหรือไม่?
MsgEmployeeSalesReportFailedOperation,การนำเข้ารายงานจากระบบส่วนหลังล้มเหลว แสดงข้อมูลภายในเครื่องหรือไม่?
BtnEmployeeSalesReportGetReport,รับรายงาน
MsgSplitBillNewBillAddConfirm,การสร้างเช็คฉบับใหม่จะเปลี่ยนแปลงค่าในเช็คฉบับก่อนหน้า
MsgSplitBillCheckTitle,เช็ค #%@ - %d
MsgSplitBillCheckNew,เช็ค #%@ - %d [ใหม่]
MsgSplitBillAllItemsAreAddedAlready,รายการทั้งหมดได้ถูกเพิ่มไว้แล้ว
MsgSplitBillSelectProducts,เลือกผลิตภัณฑ์
MsgSplitBillAdjustBillsTitle,ปรับยอดบิล
MsgSplitBillAdjustAmountDue,จำเป็นต้องมีการปรับยอด
MsgSplitBillAdjustTotal,ยอดรวม
MsgSplitBillAdjustAdjust,จำนวนเงิน\nที่ปรับยอด
MsgSplitBillAdjustBill,เช็ค
MsgSplitBillApplyOrderDiscount,คำสั่งซื้อนี้มีส่วนลด %@  เช็ดฉบับใดที่คุณต้องการให้ส่วนลด?
MsgSplitBillOrderNumberReceipt,หมายเลขคำสั่งซื้อ - ใบเสร็จ
MsgSplitBillName,ชื่อ
MsgSplitBillQty,จำนวน
MsgSplitBillEach,ชิ้น
MsgSplitBillTotal,ยอดรวม
MsgSplitBillDiscounts,ส่วนลด:
MsgSplitBillTotalDiscounts,ยอดรวมส่วนลด:
MsgSplitBillSubTotal,ยอดรวมย่อย:
MsgSplitBillSurcharge,เก็บเงินเพิ่ม:
MsgSplitBillTax,เก็บภาษี:
MsgSplitBillTOTAL,ยอดรวม:
MsgSplitBillBalanceDue,ยอดที่ต้องชำระ:
MsgSplitBillAddItems,เพิ่มรายการ
MsgSplitBillPrintCheck,พิมพ์เช็ค
MsgSplitBillPayCheck,จ่ายเช็ค
MsgSplitBillTipGrat,ทิป/เงินค่าตอบแทน
MsgSplitBillDiscount,ส่วนลด
MsgProductNameSelectoptions,%@: เลือกตัวเลือก
BtnMods,โหมด
MsgUpsellWithSlotAndPrice,พร้อมด้วย %@
MsgUpsellProductNameChooseOptions,%@: เลือก %@ ตัวเลือก
MsgUpsellDfltNameViewAll,ดูทั้งหมด
MsgUpsellDfltNameNoMeal,ไม่มีอาหาร
MsgUpsellDfltNameSmall,เล็ก
MsgUpsellDfltNameMedium,กลาง
MsgUpsellDfltNameLarge,ใหญ่
MsgUpsellDfltNameXtraLarge,ใหญ่พิเศษ
MsgUpsellDfltNameSuper,ซูเปอร์
MsgUpsellCreatingUpsellProduct,การสร้างผลิตภัณฑ์ขายต่อยอด
MsgSplitBillSeatExistingPaymentsWillBeRefunded,การชำระเงินที่มีอยู่จะได้รับการคืนเงิน คุณแน่ใจหรือไม่?
MsgSplitBillPrintAllChecks,พิมพ์เช็คทั้งหมด
MsgSplitBillClearSplitBills,ลบบิลที่แยก
MsgSplitBillOrderScreen,หน้าจอคำสั่งซื้อ
MsgSplitBillRefundPayments,ชำระเงินคืน
